02 6 0	Book 2, Growing Up, Chapter 6 – ‘Bebe’ the Shadowmouse (part 2)

02 6 47	“Bebe.” Linley was grinning so widely, his face was about to split.

02 6 59	“Haha, I’m fine. It’s just that Bebe has become my magical beast, now.” Linley was extremely happy. “Come, Bebe, hop onto my shoulder.” Immediately, the little Shadowmouse let out a happy squeal, then scurried onto Linley’s shoulder.

02 7 22	Linley and Hillman were staying in the same room. There were two beds in this room. Immediately upon entering, the little Shadowmouse, Bebe, leapt out from within Linley’s clothes and immediately began circling around Linley while squeaking loudly.

02 7 23	“I know, I know, you’re hungry. Eat up.” Linley threw the roast duck he had brought back from the restaurant onto the floor, and Bebe immediately excitedly ran to it and began chewing.

02 7 55	“Uncle Hillman, there’s so many people here today. Many nobles brought their children here.” Linley laughed towards Hillman. At this time, the little Shadowmouse, Bebe, was hiding within Linley’s clothes, occasionally peeking out to see his surroundings.

02 12 12	“Woosh!” A black shadow from far away came flashing towards them, appearing on Linley’s shoulders in the blink of an eye. It was the Shadowmouse, ‘Bebe’. Young Bebe leaned towards Linley, making a chewing motion with his mouth, while pointing at a nearby dead hare.

02 12 13	Just from the look on Bebe’s face, Linley knew what was up.

02 12 15	Bebe nodded repeatedly.

02 12 18	Although Shadowmouse ‘Bebe’ did not increase in size, his speed was improving quite remarkably.

02 12 19	“It really is bizarre.” Doehring Cowart looked at Bebe. Right now, Bebe didn’t have any idea that a spirit was mentally weighing him.

02 12 48	Ever since he was born, Linley had never left home for an extended period of time, but this time, he would be gone for extremely long. At this moment, the little Shadowmouse, ‘Bebe’, was obediently perched on Linley’s shoulders, not making a sound, as if he sensed Linley’s thoughts. The nearby Doehring Cowart, in spirit form, also looked encouragingly at Linley.

02 12 52	Yulan calendar, year 9991. The nine year old Linley, accompanied by the young Shadowmouse, ‘Bebe’, and the Baruch clan’s guard captain, Hillman, departed from Wushan township.
02 15 6	“Squeak squeak!” At this moment, the little Shadowmouse, ‘Bebe’, suddenly popped his head out from within Linley’s clothes. Having just woken up, the little Shadowmouse was feeling lonely, so he popped his head out.

02 15 8	“Bebe, you woke up?” Linley laughed as he stroked Bebe’s little head. Bebe closed his eyes in contentment, and then opened his little eyes and peered at Reynolds, Yale, and George. His little nose snorted three times, as though he looked down at them.

02 15 12	“Bebe is just a baby magical beast. I just gave him some food, which made him like me. So I entered a soulbinding contract with him.” Linley laughed.

02 15 13	“Good heavens, that’s a magical beast! Linley, you are really formidable. I’ve dreamed of having one since I was young.” Yale stared at Bebe, his eyes shining. “Although I have access to soulbinding formation scrolls, I don’t have the ability to force a magical beast to submit to me.”

02 15 18	The little Shadowmouse, ‘Bebe’, currently was as strong as a magical beast of the fifth rank. He was far stronger than Linley. But having been together with Bebe for half a year, he could tell that Bebe didn’t grow larger at all. This was what confused both Linley and Doehring Cowart.

02 15 19	“Linley, this little Shadowmouse is named Bebe? Can you have Bebe allow me to cuddle him?” Reynolds gaze was glued to the little Shadowmouse.

02 15 20	“Bebe?”

02 15 21	Linley immediately asked Bebe through their soul link.

02 15 22	“No, no way.” Bebe could also express some simple intentions to Linley through their soul link. At the same time, Bebe flashed his fangs towards Reynolds. “Squeak squeak!” He squeaked loudly, clearly very angry.

02 15 24	“Reynolds, I’ll tell you a secret. Bebe loves to eat roast meat. If in the future, you can feed him some roast ducks or roast chickens, I believe that he won’t be very hostile to you.” Linley laughed upon seeing Reynolds eyes shine.

02 15 37	The four bros of dorm 1987, along with the little Shadowmouse ‘Bebe’, strolled about the entire campus, gaining a basic level of familiarization. That very night, the four of them went to a lavishly decorated hotel next to the dormitory area and had themselves a feast. But of course, all they drank was juice.

02 17 32	“Squeak squeak.” Bebe chirped at Linley.

02 17 33	Linley chuckled and said, “You want to go out and play again? Fine, but don’t run off too far.” Linley had a lot of faith in Bebe. A year had passed since he had met the little guy, but although Bebe still hadn’t grown larger, and was still just twenty centimeters long, his speed had dramatically improved.

02 17 35	The little Shadowmouse, Bebe, scurried into the mountain forests.

02 21 22	“Squeak squeak.” Bebe, perched on Linley’s shoulder, began to squeak.

02 21 23	“Bebe is getting impatient. Yale, you pulled us all here early in the morning, but the carriage still hasn’t come.” Reynolds said unhappily, while Yale laughed apologetically. “I don’t know either, they should be here by now.” Linley just stroked Bebe’s little head.

