02 4 0	Book 2, Growing Up, Chapter 4 – The Ernst Institute

02 4 66	“The most elite school in the O’Brien Empire is the O’Brien Academy, which is reputed to be the number one warrior academy in the entire Yulan continent. But as far as magus academies go…” Hogg chuckled. “The number one magus academy in the entire Yulan continent belongs to our Holy Union. Its name comes from a legendary Holy Emperor of the Holy Church, ‘Holy Emperor Ernst’. The ‘Ernst Institute’.”
02 7 56	Hillman laughed calmly, “Nobles? Every single student of the Ernst Institute can easily become an earl in any kingdom.”

02 7 63	For example, the number one magus academy, the Ernst Institute. Because it admited so few students, any students who hailed from the Holy Union did not have to pay any fees at all! After all, everyone who could be admitted to the Ernst Institute had to be genius-level. In the future, their possibilities were limitless.

02 9 26	“Linley. Our Ernst Institute would sincerely like to invite you to become one of our students.” From far away, another voice sounded out, and when it did, the entire hall went silent. Even the bald elder stopped speaking.

02 9 28	A white-robed middle-aged man walked over. Smiling, he said, “Exceptional elemental affinity, high spiritual essence, and dual-element. Linley, our Ernst Institute would very much welcome you to join us. I don’t know if you would be willing to enter our Ernst Institute?”

02 9 30	The Ernst Institute?

02 9 31	Enter the Yulan continent’s number one magus academy, the Ernst Institute? What did that represent?

02 9 32	That represented that immediately upon graduation, even if he was just an average student, he could easily become an earl in any of the nearby kingdoms. If he was a superior student, even the four great empires would sincerely welcome him to join them.

02 9 33	Across the entire massive Yulan continent, each year the Ernst Institute only enrolled a scant hundred students!

02 9 35	Every single student who enrolled into the Ernst Institute could be described as a genius!

02 9 37	Linley also felt extremely excited, but his head was extremely clear, and he also looked very calm on the outside. Linley knew very well that upon becoming a member of the Ernst Institute, and with the guidance of Doehring Cowart, in just a few decades, it would not be too difficult to become a magus of the seventh or eighth ranks.

02 9 38	His clan would once again flourish.

02 9 39	“Sir, it would be my honor to enroll within the Ernst Institute.” Linley said courteously.

02 9 40	Surprised at Linley’s equanimity, the white robed man still smiled. “Linley, I will inform the Institute of your biographical details. When the time comes, just bring your proof of identity to the Institute and take a second, correlating test. Then, you will become an official student of our Institute.”

02 9 43	In fact, immediately upon knowing Linley’s test results, he had recorded Linley’s details into the paperwork in the envelope. Because the white robed man believed without a doubt – no one would refuse an offer from the Ernst Institute!

02 9 45	Linley didn’t look too excited on the outside, but Hillman was uncontrollably excited. A student at the Ernst Institute. Who amongst them were not venerated? Linley’s future accomplishments could already be predicted.

02 9 48	This was a simple demonstration of the status which an Ernst Institute student held!

02 10 7	“Lord Hogg, the Ernst Institute! It’s the Ernst Institute! Linley was accepted by the Ernst Institute!” Hillman said excitedly.

02 10 10	Hogg, slowly regaining his mental faculties, suddenly hurried walked towards Linley and Hillman. In a disbelieving tone, he said, “Ernst, did you just say, Ernst Institute?” Right now, Hogg’s eyes were bulging and round.

