source: 01 23 1	“Linley, can you feel it?” Doehring Cowart’s voice gently sounded in Linley’s mind.

score: 0.719467, para: 02 22 29	Just as Linley was falling into a reverie while enjoying the sculptures, Doehring Cowart’s voice sounded out in his mind once again.

score: 0.719467, para: 02 22 29	Just as Linley was falling into a reverie while enjoying the sculptures, Doehring Cowart’s voice sounded out in his mind once again.

score: 0.719467, para: 02 22 29	Just as Linley was falling into a reverie while enjoying the sculptures, Doehring Cowart’s voice sounded out in his mind once again.

score: 0.691454, para: 01 20 30	“I hear you.” Doehring Cowart’s voice rang out in Linley’s mind as well.

score: 0.691454, para: 01 20 30	“I hear you.” Doehring Cowart’s voice rang out in Linley’s mind as well.

score: 0.691454, para: 01 20 30	“I hear you.” Doehring Cowart’s voice rang out in Linley’s mind as well.

score: 0.691454, para: 01 20 30	“I hear you.” Doehring Cowart’s voice rang out in Linley’s mind as well.

score: 0.685847, para: 01 20 45	“There’s still some people who can sense my presence. Those whose spiritual presence are on par with me can feel my presence. But naturally…if I hide within the Coiling Dragon Ring, they definitely won’t be able to sense me.” Doehring Cowart’s voice sounded within Linley’s head.

score: 0.685847, para: 01 20 45	“There’s still some people who can sense my presence. Those whose spiritual presence are on par with me can feel my presence. But naturally…if I hide within the Coiling Dragon Ring, they definitely won’t be able to sense me.” Doehring Cowart’s voice sounded within Linley’s head.

