source: 01 4 26	Hillman, off to the side, nodded with satisfaction.


score: 0.768843, para: 02 13 48	“Uncle Hillman, you can go back as well. I can take care of myself.” Linley smiled as he spoke to Hillman, and Hillman nodded back, satisfied. “Linley, then I’ll go back now. Work hard.” Hillman encouraged.


score: 0.721380, para: 01 12 11	“It definitely is worth celebrating,” Hillman nodded and laughed as well.


score: 0.573868, para: 02 7 18	“This is heaven for rich people or people with status.” Hillman nodded and sighed.


score: 0.570700, para: 01 1 46	All of the children stared worshipfully at Hillman.


score: 0.566109, para: 01 1 68	“Haha.” Linley grinned widely. In his heart, he felt very happy at being praised by Hillman.


score: 0.555795, para: 01 1 65	“Linley, how do you feel?” Smiling, Hillman walked towards him.


score: 0.551231, para: 02 5 47	Hillman smiled as he said, “Lord Hogg, please set your mind at ease.”


score: 0.551107, para: 01 1 91	Upon hearing these words, all of the youths, including the youngest children resting off to the side, stared at Hillman with wide eyes.


score: 0.521626, para: 02 5 51	Linley glanced at the back courtyard, thinking to himself, “I’m afraid no one is going to come bring meat to the little Shadowmouse in the next few days.” Hillman, who was next to him, said to Linley, “Linley, let’s go!”


