source: 02 7 54	Linley and Hillman had arrived here as well.


score: 0.771061, para: 01 8 43	In but a few moments, they arrived in the middle of the town. Hillman was standing far away, watching.


score: 0.631346, para: 02 6 10	Hillman was startled.


score: 0.631346, para: 02 6 27	“Linley, are you okay?” Hillman said.


score: 0.631346, para: 02 6 31	Linley and Hillman watched, stunned.


score: 0.631346, para: 02 6 60	“You…tamed him?” Hillman was stunned.


score: 0.606474, para: 01 8 22	“Everyone, stay here.” After he spoke, Hillman immediately chased after the departing Velocidragon.


score: 0.564257, para: 02 9 49	Watched by a crowd of nobles, commoners, and church officials, Linley and Hillman departed the cathedral.


score: 0.526121, para: 02 12 52	Yulan calendar, year 9991. The nine year old Linley, accompanied by the young Shadowmouse, ‘Bebe’, and the Baruch clan’s guard captain, Hillman, departed from Wushan township.


score: 0.525631, para: 02 6 9	“Uncle Hillman, hold it!” Linley finally managed to react.


