source: 01 4 39	Hogg coldly nodded, and Linley quickly walked next to him.


score: 0.649053, para: 01 11 54	The mysterious magus lightly nodded, then turned and walked towards the Velocidragon. The Velocidragon immediately knelt down, stretching out his foreleg. The magus stepped onto the Velocidragon’s leg, walked two steps, then easily jumped onto the Velocidragon’s back.


score: 0.580779, para: 02 10 10	Hogg, slowly regaining his mental faculties, suddenly hurried walked towards Linley and Hillman. In a disbelieving tone, he said, “Ernst, did you just say, Ernst Institute?” Right now, Hogg’s eyes were bulging and round.


score: 0.580296, para: 01 3 35	“Linley, why are you crying? Don’t cry, be good, don’t cry.” Hogg immediately hugged Linley. Seeing Linley cry, Hogg felt sick at heart. After all, Linley was still just six and a half. He was just a child.


score: 0.573441, para: 01 5 30	Hogg sternly shook his head firmly. “The grandfather clock is not for sale! As for the sculpture, six hundred gold. Take it or leave it.”


score: 0.568109, para: 01 18 30	Hogg’s eyes brightened. Turning, he saw Hillman striding quickly into the manor.


score: 0.542534, para: 01 2 63	Hogg quietly stood in front of the spirit tablets, not saying a word.


score: 0.539214, para: 01 5 31	Philip carefully studied Hogg for a moment, then chuckled. “Fine, Hogg. I’ll give you some face. Six hundred gold it is. Housekeeper, bring me six hundred gold.” The caretaker for his manor, who had been waiting outside the entire time, immediately ran over with the gold.


score: 0.527982, para: 01 5 10	A middle aged man with long, golden hair and a nobleman’s aura strode into the hall by Hogg’s side. Linley immediately was able to guess that this middle-aged man must be ‘Philip’.


score: 0.515038, para: 01 3 26	After just a short period of time, Hogg returned with a twenty-centimeter long needle that was extremely thin as he walked out from the private room.


