source: 01 2 55	“The ancestral hall?” Linley was astonished.


score: 0.811268, para: 01 3 44	“Our ancestral heirloom? What’s that? Why have I never heard about it?” Linley asked curiously.


score: 0.674322, para: 02 5 4	“Our ancestral heirloom. For our ancestral heirloom to be lost to us is a humiliation that must be washed away.” Linley could also feel his heart grow heavy.


score: 0.651316, para: 02 10 49	Late night, the Baruch family ancestral hall. Only Linley and his father were present.


score: 0.626955, para: 02 10 53	An ancient clan which had lasted five thousand years. The Dragonblood Warrior clan. Linley felt pride in his heart. But their ancestral heirloom had been lost.


score: 0.599431, para: 01 3 15	“And afterwards?” Linley wondered. “Father, why doesn’t our clan have any more Dragonblood Warriors?”


score: 0.598186, para: 01 3 22	“Linley, wait here. I’ll go get the ‘Dragonblood Needle’.” Hogg clearly was very excited, as he immediately departed the ancestral hall for a nearby private room.


score: 0.547239, para: 01 6 5	“The ancestral hall is cleaned every month. Frankly speaking, in just a month, the ancestral hall won’t get too dirty. All I have to do is just casually wipe it down. I have almost an hour before training starts. What should I do?” Bored, Linley looked around in all directions.


score: 0.544841, para: 01 6 3	Departing the ancestral hall, Linley had to admit that he had over-prepared. He had slotted an hour for this job, but in just fifteen minutes, he was finished cleaning.


score: 0.535273, para: 01 1 133	The amount of land the Baruch manor was built upon was actually quite large. Moss was growing on the walls, and all sorts of ivy creepers twined up the walls as well. The scars of time were very apparent on the walls. The Baruch manor located in Wushan town was the ancestral home of the Baruch clan. An ancestral home which had existed for over five thousand years and endured countless renovations continued to stand here.


