source: 01 3 27	“Dragonblood Needle?” Linley guessed, as he stared at the long needle in his father’s hands.


score: 0.791137, para: 01 6 22	He stared up at the sky.


score: 0.752668, para: 02 6 41	Linley stared at the little Shadowmouse.


score: 0.672855, para: 02 14 34	“Decades?” Linley stared at Yale in shock.


score: 0.671013, para: 01 7 47	Linley widened his eyes and stared east…


score: 0.650716, para: 02 2 45	In scant seconds, Linley finished his incantation, and his eyes lit up as he stared at the hare.


score: 0.627085, para: 01 2 45	“What, did I do it wrong? I really wiped them clean.” In little Wharton’s tiny head, his eyes were filled with an uncomprehending look as he stared at his big brother.


score: 0.615905, para: 02 8 39	The bald elder quivered as he stared at the piece of paper in his hands. It was written clearly on top that Linley was eight years old.


score: 0.610478, para: 01 23 72	“A magical beast? Shadowmouse? It is so big! How can it be an infant?” Linley stared at Doehring Cowart in surprise.


score: 0.596495, para: 02 19 58	“Oh, and this one.” Rand’s eyes shone as he stared at Linley. “How come I never knew that in Yale’s dorm, there was someone such as you?”


