source: 01 4 50	“Within our Holy Union, there are six kingdoms and fifte…sevente…” Linley suddenly frowned.


score: 0.756039, para: 02 5 8	“What is it, Grandpa Doehring?” Linley asked questioningly. “I bet all of the hundreds of millions of citizens in the six kingdoms and fifteen dukedoms of the Holy Union know about the legendary Holy Emperor Ernst of the Radiant Church.” Linley, also, knew much about the affairs and history of the legendary Holy Emperor Ernst.


score: 0.709442, para: 02 5 11	“Grandpa Doehring, you knew Holy Emperor Ernst?” Linley was somewhat surprised.


score: 0.664865, para: 02 7 16	“Linley, how do you feel about Fenlai City? This is the largest city in our entire Holy Union.” Hillman walked alongside Linley, occasionally seeing some warriors and even one or two magi pass by. He couldn’t help but sigh, “Linley, in Fenlai City, mighty warriors and mighty magi are a very common sight.”


score: 0.609826, para: 01 2 68	A look of pride appearing on his face, Hogg said in a clear voice, “Linley, our Baruch clan has existed for five thousand years. Even scanning the entire Kingdom of Fenlai, I don’t believe we can find a second clan which is as ancient as ours.” Hogg’s voice contained an absolute pride.


score: 0.608981, para: 02 14 8	“My name is Linley. I’m from the Holy Union’s Kingdom of Fenlai.” Linley smiled as well.


score: 0.595641, para: 01 12 22	Again and again, the terrifying power of the ‘Dance of the Fire Serpents’ swam about in his mind’s eye. Those seven huge fire serpents and the tempest of flame they generated repeated in his mind over and over again, as well as how they instantly turned everything around them to ash, including the powerful warriors and magi of the small adventuring group.


score: 0.593622, para: 01 5 42	“Linley, do you know that amongst the hundreds of millions of people in the Holy Union, there are at least several million who have studied sculpting. But in the entire Holy Union, the number of true masters can be counted on one hand. In addition, if you don’t have a good instructor, you simply cannot succeed on your own.”


score: 0.587510, para: 02 7 17	Linley laughed while nodding. “In the books, it is said that Fenlai City is the political, economic, and cultural capital of the entire Holy Union.”


score: 0.583255, para: 01 19 26	“Gramps, you said that five thousand years ago, you were ambushed by a Saint-level Grand Magus and a Saint-level combatant, and then you were self-sealed within this ring? And that this ring is an artifact which is comparable in power to a Divine artifact?” Linley finally said.


