source: 01 20 30	“I hear you.” Doehring Cowart’s voice rang out in Linley’s mind as well.


score: 0.763622, para: 02 18 48	“Linley’s back. Let’s go, everyone, time to eat!” Yale’s voice sounded out.


score: 0.737654, para: 02 22 29	Just as Linley was falling into a reverie while enjoying the sculptures, Doehring Cowart’s voice sounded out in his mind once again.


score: 0.728557, para: 02 24 4	“That guy is Linley, the number one magus amongst us first graders.” A clear voice rang out from not too far up ahead.


score: 0.690759, para: 01 17 12	“Linley. Linley!” Hogg’s voice was quavering.


score: 0.687562, para: 01 23 1	“Linley, can you feel it?” Doehring Cowart’s voice gently sounded in Linley’s mind.


score: 0.672148, para: 02 22 56	A familiar voice sounded out. Turning his head to look, surprised joy appeared on Linley’s face. “Uncle Hillman.”


score: 0.668990, para: 02 24 44	“Oh ho, so no one’s ever heard of you?” Linley began to chortle.


score: 0.624963, para: 02 13 30	Linley chuckled when he heard this.


score: 0.614339, para: 01 1 138	“Linley.” Hillman’s voice sounded from behind him. Hillman, Roger, and Lorry had finally caught up to him.


