source: 01 21 8	Linley found this somewhat hard to believe.


score: 0.787284, para: 01 8 36	“The magus was even more powerful than the Velocidragon?” Linley found this somewhat hard to believe.


score: 0.621009, para: 02 6 5	“Uh, what’s the little Shadowmouse doing here?!” Linley was somewhat surprised.


score: 0.607043, para: 01 23 6	“Grandpa Doehring, I can still feel the movements of those earth-colored specks of light. Really! Even though it’s not as clear now, I can still somewhat feel them.” Linley was feeling extremely excited.


score: 0.590665, para: 01 11 30	“Just then…just then, was he the one who cast the ‘Dance of the Fire Serpents’?” Linley really found it a little hard to believe. A person who seemed a full size smaller than Uncle Hillman was actually able to cast such an apocalyptic spell.


score: 0.576921, para: 01 10 21	All of these things made it hard for Linley to breathe, and he felt dizzy.


score: 0.576921, para: 01 23 46	As he was hard at work training…


score: 0.571032, para: 02 23 20	His own little brother’s Dragonblood density was sufficiently high that with just a few decades of hard work, he could become a world-renowned Dragonblood Warrior.


score: 0.562322, para: 02 4 31	In the blink of an eye, time passed. Linley had fed the little Shadowmouse for twenty days now, and the little Shadowmouse was behaving extremely familiarly with Linley. But for some reason, even though the two of them had become extremely close, the little Shadowmouse still had not initiated the ‘bond of equals’.


score: 0.558866, para: 02 8 7	“Bebe, stick with Uncle Hillman for now. I’m going to take the test.” Linley mentally instructed the little Shadowmouse, who somewhat unwillingly shuffled around a bit under Linley’s clothes. But after multiple requests from Linley, the little Shadowmouse directly scurried into Hillman’s clothes.


