source: 02 2 10	“Initiated by the magical beast?!” Linley was stunned.


score: 0.945236, para: 01 8 23	“Uncle Lorry, what is that? Is that a magical beast?” Linley was the first to ask.


score: 0.773403, para: 01 8 4	“So bi, bi, big! Is, is this a legendary magical beast?” Linley was totally stunned.


score: 0.741502, para: 02 9 5	Linley stepped into the magical formation.


score: 0.705489, para: 01 23 73	Aside from the Vampiric Iron Bull, the Griffin, the Velocidragon, and the Black Dragon magical beasts he had seen, this was the first time Linley had seen any other magical beasts. This adorable black mouse was actually a magical beast? A magical beast, with magical abilities?


score: 0.677467, para: 01 12 29	“Magical beasts…I wonder how someone acquires a magical beast.” Linley desired to have a magical beast of his own as well.


score: 0.632546, para: 01 13 35	Seeing the expression on Linley’s face, Hogg couldn’t help but laugh. “There’s only two ways to acquire a magical beast companion. The first is to make the magical beast willingly subordinate himself to you and serve you. The second way is to use a soul-binding magical array to enslave the magical beast.”


score: 0.631434, para: 01 3 4	Hogg took Linley by the hand. “Come.”


score: 0.629330, para: 02 6 13	Hillman looked at Linley with shock. “Linley, are you saying that you’ve been raising, raising a magical beast?”


score: 0.620260, para: 02 9 14	Standing alone in the magical formation, Linley continued to resist the overawing presence.


