source: 02 3 56	Only Doehring Cowart was aware of this all, as he watched Linley mature.


score: 0.658893, para: 02 6 18	“Squeak. Squeaaaaak!” The little Shadowmouse stood there, watching Linley.


score: 0.656422, para: 02 4 24	Linley understood this logic.


score: 0.630046, para: 02 6 45	“Okay. You were saying ‘Bei’….’Bei’….then I’m going to call you ‘Bebe’. How’s that?” Linley grinned as he watched the little Shadowmouse.


score: 0.627810, para: 02 9 2	Linley understood this as well.


score: 0.620958, para: 02 6 19	“Uncle Hillman, let’s go. Hehe, the little Shadowmouse is smart. He knows what I’m saying.” Linley said to Hillman. Hillman, who had been watching this spectacle with amazement, chuckled and then continued walking forward with Linley.


score: 0.602490, para: 01 4 8	“Ley is really amazing. Just eight years old, but he’s able to match the thirteen year olds in doing the ‘Static Tension’ exercise.” Some of the children who had already given up were sprawled on the ground, chatting as they watched Linley.


score: 0.593229, para: 02 2 5	“Bond of equals?” Linley said curiously. “What is that? I’ve never heard of it.”


score: 0.585613, para: 01 9 40	Staring at the Velocidragon, Linley watched as its whip-like tail snapped about, dancing in front of it.


score: 0.578788, para: 01 4 31	“Big brother!” Upon seeing Linley, the healthy-looking Wharton rushed over.


