source: 02 5 55	The little Shadowmouse really liked Linley.


score: 0.804107, para: 02 6 42	“What’s the little Shadowmouse saying?” Linley didn’t really understand.


score: 0.797522, para: 02 4 20	“This little guy is so adorable.” Linley was really beginning to like this little Shadowmouse more and more.


score: 0.730076, para: 02 6 5	“Uh, what’s the little Shadowmouse doing here?!” Linley was somewhat surprised.


score: 0.704210, para: 02 6 20	Seeing Linley and Hillman slowly disappear, the little Shadowmouse still stayed there, unmoving.


score: 0.700543, para: 02 6 26	Looking down, he saw that it was actually the little Shadowmouse. At the moment, the little Shadowmouse was staring up at Linley with its pitiable, sad little eyes. Linley rubbed his leg, and noticed that he was actually bleeding. He couldn’t help but grow unhappy. But seeing how sad the little Shadowmouse was, he couldn’t grow angry at him.


score: 0.692781, para: 02 1 54	Linley couldn’t help but feel a bit disappointed.


score: 0.684192, para: 02 6 45	“Okay. You were saying ‘Bei’….’Bei’….then I’m going to call you ‘Bebe’. How’s that?” Linley grinned as he watched the little Shadowmouse.


score: 0.681076, para: 02 6 18	“Squeak. Squeaaaaak!” The little Shadowmouse stood there, watching Linley.


score: 0.677755, para: 02 4 22	While petting the little Shadowmouse, Linley couldn’t help but feel amazed.


