source: 02 6 5	“Uh, what’s the little Shadowmouse doing here?!” Linley was somewhat surprised.


score: 0.787335, para: 02 4 20	“This little guy is so adorable.” Linley was really beginning to like this little Shadowmouse more and more.


score: 0.750692, para: 02 2 14	Linley slightly nodded.


score: 0.730076, para: 02 5 55	The little Shadowmouse really liked Linley.


score: 0.710512, para: 02 1 54	Linley couldn’t help but feel a bit disappointed.


score: 0.699023, para: 02 5 40	“I don’t know how much time I will have to spend in a magus academy, or how many years I will be there for. Will we ever meet again?” Linley stroked the little Shadowmouse’s fur, somewhat unwilling to part from it. After playing with the little Shadowmouse for the past month, he had really come to care for the cute little Shadowmouse.


score: 0.680306, para: 02 4 31	In the blink of an eye, time passed. Linley had fed the little Shadowmouse for twenty days now, and the little Shadowmouse was behaving extremely familiarly with Linley. But for some reason, even though the two of them had become extremely close, the little Shadowmouse still had not initiated the ‘bond of equals’.


score: 0.670323, para: 02 5 35	There was no way he could bring a little Shadowmouse into a magus academy.


score: 0.669415, para: 02 5 56	Over the past month, the friendless little Shadowmouse had really come to view Linley as family.


score: 0.645389, para: 02 8 7	“Bebe, stick with Uncle Hillman for now. I’m going to take the test.” Linley mentally instructed the little Shadowmouse, who somewhat unwillingly shuffled around a bit under Linley’s clothes. But after multiple requests from Linley, the little Shadowmouse directly scurried into Hillman’s clothes.


