source: 02 12 46	Seeing his father and his younger brother, Linley also waved, his eyes turning red.


score: 0.791896, para: 01 13 31	Hearing these words, Linley’s eyes shone.


score: 0.791896, para: 01 23 65	“What’s that?” Linley’s eyes widened.


score: 0.791896, para: 02 21 14	Reynolds, George, and Linley’s eyes all shone.


score: 0.791896, para: 02 23 6	Linley’s eyes shone.


score: 0.704434, para: 01 18 54	Linley’s eyes suddenly turned round. “You…you are a Saint-level magus instructor?”


score: 0.682879, para: 02 9 51	Only now did Linley let the excitement he felt show on his face. His hands suddenly clenching into fists, his eyes shone with energy. Turning to look at Hillman, he rapidly said, “Uncle Hillman, let’s go, let’s go back! Back to Wushan township! I’ve gotta let my father know the news!”


score: 0.668356, para: 02 23 29	“Linley, how do you have a magicrystal card? Not even your father has one.” Hillman looked at Linley with surprise.


score: 0.638723, para: 01 1 147	“Linley, Uncle Hillman has faith in you. I’m sure you’ll become a Saint-level warrior.” Staring at Linley, Hillman spoke firmly. These words of encouragement caused Linley’s eyes to shine. In Linley’s heart, as well, a desire arose.


score: 0.628524, para: 02 25 71	Linley’s eyes involuntarily shone.


