source: 02 14 19	“Yeah, what’s ‘losing virginity’?” Linley also looked curiously at Yale.


score: 0.813293, para: 01 13 7	“Destructive potential?” Linley looked at his father.


score: 0.738589, para: 01 19 14	“Original name? What do you mean, original name?” Linley looked questioningly at the old man.


score: 0.725831, para: 01 12 14	Hogg looked behind him carefully, then asked Hillman suspiciously, “Hm? Where did Linley go? He was just here a moment ago.”


score: 0.712980, para: 01 19 28	“Then Gramps, how is it that you appeared from within the ring just now?” Linley looked doubtfully at the old man.


score: 0.692972, para: 02 17 27	“It’s just a magical beast. Why be so cocky about it?” Linley looked somewhat contemptuously at the self-pleased youngster.


score: 0.683935, para: 01 7 9	“Earthworm?” Linley suspiciously looked at the carving on the ring.


score: 0.633938, para: 02 18 63	“Not necessarily. I also feel Linley’s been really sneaky.” Yale also looked at Linley. “Linley, have you become a magus of the second rank?”


score: 0.630634, para: 02 23 29	“Linley, how do you have a magicrystal card? Not even your father has one.” Hillman looked at Linley with surprise.


score: 0.618829, para: 02 12 48	Ever since he was born, Linley had never left home for an extended period of time, but this time, he would be gone for extremely long. At this moment, the little Shadowmouse, ‘Bebe’, was obediently perched on Linley’s shoulders, not making a sound, as if he sensed Linley’s thoughts. The nearby Doehring Cowart, in spirit form, also looked encouragingly at Linley.


