source: 02 14 28	“Rich guy.” Linley sighed to himself.


score: 0.674445, para: 02 13 49	Linley smiled and nodded.


score: 0.662903, para: 02 13 48	“Uncle Hillman, you can go back as well. I can take care of myself.” Linley smiled as he spoke to Hillman, and Hillman nodded back, satisfied. “Linley, then I’ll go back now. Work hard.” Hillman encouraged.


score: 0.587420, para: 02 15 8	“Bebe, you woke up?” Linley laughed as he stroked Bebe’s little head. Bebe closed his eyes in contentment, and then opened his little eyes and peered at Reynolds, Yale, and George. His little nose snorted three times, as though he looked down at them.


score: 0.582372, para: 02 10 33	Linley nodded honestly.


score: 0.582372, para: 02 24 55	Linley nodded as well.


score: 0.575417, para: 02 18 46	“Harry [Ha’li], have you eaten dinner?” Linley smiled back in response.


score: 0.567125, para: 02 6 45	“Okay. You were saying ‘Bei’….’Bei’….then I’m going to call you ‘Bebe’. How’s that?” Linley grinned as he watched the little Shadowmouse.


score: 0.560137, para: 01 19 35	Linley smiled brightly. “My name is Linley! Linley Baruch!”


score: 0.557481, para: 02 17 12	Linley could only sigh helplessly.


