source: 02 16 30	“Before this, let’s all first introduce ourselves.” Trey smiled.


score: 0.895973, para: 02 17 66	Standing next to a large tree, Trey saw Linley from afar.


score: 0.883286, para: 02 18 24	Instructor Trey couldn’t help but start.


score: 0.718412, para: 02 17 62	Just then, Trey had utilized the ‘Windscout’ spell, and had sensed the earth-style magic which Linley had just cast.


score: 0.683042, para: 02 17 63	Based on the magic vibrations, Trey was able to determine what spell it was.


score: 0.635634, para: 02 18 42	“Bah. This kid.” After recovering, Trey couldn’t help but laugh. The nearby Delia couldn’t help but cover her mouth and giggle as well.


score: 0.634427, para: 02 18 11	“Alright, today’s class is over for now. But before class ends, there’s something I must inform you all about.” Instructor Trey smiled as he spoke.


score: 0.597038, para: 02 18 35	Instructor Trey leaned in towards Linley, saying in a low voice, “Linley, are you concerned about revealing your ability? I know that you are a magus of the second rank.”


score: 0.592192, para: 02 17 65	In the blink of an eye, Trey had reached a spot two hundred meters next to Linley.


score: 0.591202, para: 02 18 25	“Linley, you no doubt are unaware that the victors of the tournament will receive some rewards.” Instructor Trey said enticingly.


